precision_type,Trial,trial_accuracy,Unnamed: 3
LinearMiniFloatIEEE,0,0.87252,
LinearMiniFloatIEEE,1,0.87564,
LinearMiniFloatIEEE,2,0.87356,
LinearMiniFloatIEEE,3,0.87744,
LinearMiniFloatIEEE,4,0.87304,
LinearMiniFloatIEEE,5,0.87536,
LinearMiniFloatIEEE,6,0.87424,
LinearMiniFloatIEEE,7,0.87496,
LinearMiniFloatIEEE,8,0.87468,
LinearMiniFloatIEEE,9,0.87612,
LinearMiniFloatIEEE,10,0.87352,
LinearMiniFloatIEEE,11,0.87556,
LinearMiniFloatIEEE,12,0.87544,
LinearMiniFloatIEEE,13,0.87224,
LinearMiniFloatIEEE,14,0.87352,
LinearBinary,0,0.7736,
LinearBinary,1,0.7932,
LinearBinary,2,0.79644,
LinearBinary,3,0.77668,
LinearBinary,4,0.8012,
LinearBinary,5,0.77876,
LinearBinary,6,0.7852,
LinearBinary,7,0.78736,
LinearBinary,8,0.78552,
LinearBinary,9,0.76868,
LinearBinary,10,0.76532,
LinearBinary,11,0.79224,
LinearBinary,12,0.79104,
LinearBinary,13,0.78496,
LinearBinary,14,0.7936,
Linear,0,0.87748,
Linear,1,0.87552,
Linear,2,0.87888,
Linear,3,0.5,
Linear,4,0.87676,
Linear,5,0.8756,
Linear,6,0.86792,
Linear,7,0.87476,
Linear,8,0.75908,
Linear,9,0.8688,
Linear,10,0.87888,
Linear,11,0.87888,
Linear,12,0.87888,
Linear,13,0.87888,
Linear,14,0.87888,
LinearMinifloatDenorm,0,0.876,
LinearMinifloatDenorm,1,0.87472,
LinearMinifloatDenorm,2,0.87352,
LinearMinifloatDenorm,3,0.87224,
LinearMinifloatDenorm,4,0.87456,
LinearMinifloatDenorm,5,0.87448,
LinearMinifloatDenorm,6,0.87448,
LinearMinifloatDenorm,7,0.87584,
LinearMinifloatDenorm,8,0.87488,
LinearMinifloatDenorm,9,0.87448,
LinearMinifloatDenorm,10,0.8744,
LinearMinifloatDenorm,11,0.87416,
LinearMinifloatDenorm,12,0.8742,
LinearMinifloatDenorm,13,0.87536,
LinearMinifloatDenorm,14,0.87316,
LinearBinaryScaling,0,0.50284,
LinearBinaryScaling,1,0.50032,
LinearBinaryScaling,2,0.49604,
LinearBinaryScaling,3,0.50524,
LinearBinaryScaling,4,0.50256,
LinearBinaryScaling,5,0.5056,
LinearBinaryScaling,6,0.49764,
LinearBinaryScaling,7,0.49844,
LinearBinaryScaling,8,0.4984,
LinearBinaryScaling,9,0.49892,
LinearBinaryScaling,10,0.49884,
LinearBinaryScaling,11,0.4964,
LinearBinaryScaling,12,0.50304,
LinearBinaryScaling,13,0.49964,
LinearBinaryScaling,14,0.49548,
LinearInteger,0,0.5,
LinearInteger,1,0.86952,
LinearInteger,2,0.5,
LinearInteger,3,0.87316,
LinearInteger,4,0.87268,
LinearInteger,5,0.86032,
LinearInteger,6,0.5,
LinearInteger,7,0.87032,
LinearInteger,8,0.87088,
LinearInteger,9,0.87032,
LinearInteger,10,0.86364,
LinearInteger,11,0.87088,
LinearInteger,12,0.87528,
LinearInteger,13,0.87316,
LinearInteger,14,0.82704,
LinearBlockFP,0,0.87232,
LinearBlockFP,1,0.87356,
LinearBlockFP,2,0.87212,
LinearBlockFP,3,0.87248,
LinearBlockFP,4,0.87244,
LinearBlockFP,5,0.87284,
LinearBlockFP,6,0.8732,
LinearBlockFP,7,0.87348,
LinearBlockFP,8,0.87136,
LinearBlockFP,9,0.87352,
LinearBlockFP,10,0.873,
LinearBlockFP,11,0.87292,
LinearBlockFP,12,0.87292,
LinearBlockFP,13,0.87212,
LinearBlockFP,14,0.87432,
LinearLog,0,0.5,
LinearLog,1,0.5,
LinearLog,2,0.5,
LinearLog,3,0.5,
LinearLog,4,0.5,
LinearLog,5,0.5,
LinearLog,6,0.5,
LinearLog,7,0.5,
LinearLog,8,0.5,
LinearLog,9,0.5,
LinearLog,10,0.5,
LinearLog,11,0.5,
LinearLog,12,0.5,
LinearLog,13,0.5,
LinearLog,14,0.5,
LinearBlockLog,0,0.5,
LinearBlockLog,1,0.5,
LinearBlockLog,2,0.5,
LinearBlockLog,3,0.5,
LinearBlockLog,4,0.5,
LinearBlockLog,5,0.5,
LinearBlockLog,6,0.5,
LinearBlockLog,7,0.5,
LinearBlockLog,8,0.5,
LinearBlockLog,9,0.5,
LinearBlockLog,10,0.5,
LinearBlockLog,11,0.5,
LinearBlockLog,12,0.5,
LinearBlockLog,13,0.5,
LinearBlockLog,14,0.5,
